Stock_No,Make,Model,Trim,Year,Eng,Trans,Color,Mileage,VIN,Options,Warranty Type,Price,EPACity,EPAHighway,Modified,Internet Specials,Sold,Locked,Dealer Certified,Manufacturer Cert.,Home Page Special,KBB Valuation Needs Verification,Rooftop,Type,MSRP,Days in Stock,Photos
555242,Chevrolet,Trax,LS AWD,2022,Turbocharged Gas 4-Cyl 1.4L/,Automatic,Mosaic Black Metallic,79893,KL7CJNSM2NB555242,1.4L Turbocharged I4|6-speed automatic|AWD|LS Package|16-inch alloy wheels|LED daytime running lights|Cloth seating surfaces|Heated front seats|Single-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors|AM/FM stereo|USB ports|Cruise control,AS-IS,23,30,18995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,19995,90,26,
256698,Chevrolet,Silverado 1500,RST 4WD Crew Cab,2019,Gas V8 5.3L/325,Automatic,Summit White,141516,3GCUYEED5KG256698,5.3L V8 engine|8-speed automatic|4WD|RST Package|Z71 Off-Road Suspension|Skid plates|Hill descent control|18-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,16,22,28995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,29995,84,27,
126433,Chevrolet,Silverado 3500HD,High Country 4WD Crew Cab DRW,2025,Turbocharged Diesel V8 6.6L/,Automatic,Iridescent Pearl Tricoat,9126,1GC4KVEY2SF126433,6.6L Duramax Turbo-Diesel V8|10-speed automatic|4WD|Dual Rear Wheels|High Country Package|Z71 Off-Road Suspension|Skid plates|Hill descent control|20-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,0,0,89995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,91995,75,41,
113469,Chevrolet,SSR,LS,2004,Gas V8 5.3L/325,Automatic,Redline Red,0,1GCES14P24B113469,5.3L V8 engine|4-speed automatic|Rear-wheel drive|Convertible hardtop|18-inch alloy wheels|Leather seating surfaces|Heated seats|Dual-zone climate control|Navigation system|Premium audio|Bluetooth connectivity|Cruise control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors|AM/FM/CD player|Traction control|Stability control|ABS brakes|Airbags|Tire pressure monitoring|Tilt steering|Fog lamps|Chrome accents,AS-IS,16,19,24995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,26995,70,20,
151714,Chevrolet,Tahoe,LT,2020,Gas/Ethanol V8 5.3L/325,Automatic,Black,115826,1GNSCBKCXLR151714,5.3L V8 engine|6-speed automatic|4WD|LT Package|Off-road suspension|18-inch alloy wheels|LED headlamps|LED taillamps|Power liftgate|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,15,22,38995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,39995,69,20,
603621,Chevrolet,Silverado 1500,LTZ 4WD,2018,Gas V8 6.2L/376,Automatic,Summit White,132443,3GCUKSEJ2JG603621,6.2L V8 engine|8-speed automatic|4WD|LTZ Package|Z71 Off-Road Suspension|Skid plates|Hill descent control|20-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,15,20,30995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,31995,68,20,
250386,Chevrolet,Silverado 1500,LT Z71 4WD,2018,Gas V8 5.3L/325,Automatic,Deep Ocean Blue Metallic,102171,3GCUKREC2JG250386,5.3L V8 engine|6-speed automatic|4WD|LT Z71 Package|Off-road suspension|Skid plates|Hill descent control|18-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Cloth seating surfaces|Heated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,16,22,30995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,31995,65,20,
530539,Chevrolet,Silverado 1500,Work Truck,2022,Gas V8 5.3L/325,Automatic,Summit White,36596,3GCNAAED0NG530539,5.3L V8 engine|8-speed automatic|4WD|Work Truck Package|Steel wheels|LED headlamps|LED taillamps|Manual tailgate|Vinyl seating surfaces|Single-zone climate control|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors|AM/FM stereo|USB ports|Cruise control,BOF,16,21,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,65,20,
141670,Chevrolet,Malibu,LT,2024,Turbocharged Gas I4 1.5L/,Automatic,Sterling Gray Metallic,63974,1G1ZD5ST9RF141670,1.5L Turbocharged I4|CVT automatic|Front-wheel drive|LT Package|17-inch alloy wheels|LED headlamps|LED taillamps|Power trunk|Cloth seating surfaces|Heated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors|AM/FM stereo|USB ports|Cruise control,BOF,27,35,22995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,23995,65,20,
109150,Chevrolet,Camaro,RS,2019,Gas V6 3.6L/222,Automatic,Shadow Gray Metallic,78624,1G1FD1RS8K0109150,3.6L V6 engine|8-speed automatic|Rear-wheel drive|RS Package|Performance suspension|20-inch alloy wheels|LED headlamps|LED taillamps|Power trunk|Cloth seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,22,31,22995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,24995,65,20,
105797,Chevrolet,Camaro Police Pkg,SS,2002,Gas V8 5.7L/346,Automatic,Sunset Orange Metallic,67883,2G1FP22G322105797,5.7L V8 engine|4-speed automatic|Rear-wheel drive|Performance suspension|17-inch alloy wheels|Halogen headlamps|Power trunk|Cloth seating surfaces|Dual-zone climate control|AM/FM/CD player|Cruise control|Keyless entry|Power windows|Power door locks|Power mirrors|Tilt steering|ABS brakes|Airbags|Traction control|Stability control|Fog lamps|Leather-wrapped steering wheel|Rear spoiler|Performance exhaust|Limited-slip differential|Tire pressure monitoring|Auto-dimming mirrors|Power seats|Driver memory settings|Remote start,AS-IS,18,25,20995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,22995,64,20,
131230,Chevrolet,Corvette,50th ANNIVERSARY,2003,Gas V8 5.7L/346,Manual,50th Anniversary Red,18001,1G1YY32G235131230,5.7L V8 engine|6-speed manual|Rear-wheel drive|Performance suspension|18-inch alloy wheels|Halogen headlamps|Convertible top|Leather seating surfaces|Heated seats|Dual-zone climate control|Navigation system|Premium audio|Bluetooth connectivity|Cruise control|Keyless entry|Push-button start|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors|AM/FM/CD player|Traction control|Stability control|ABS brakes|Airbags|Tire pressure monitoring|Fog lamps|Performance exhaust|Limited-slip differential,AS-IS,19,28,29995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,31995,64,20,
464713,Chevrolet,Tahoe,LT,2016,Gas/Ethanol V8 5.3L/325,Automatic,Black,147911,1GNSKBKC5GR464713,5.3L V8 engine|6-speed automatic|4WD|LT Package|Off-road suspension|18-inch alloy wheels|LED headlamps|LED taillamps|Power liftgate|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,16,22,24995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,25995,56,25,
149113,Chevrolet,Silverado 2500HD,LTZ,2025,Turbocharged Diesel V8 6.6L/,Automatic,Summit White,17383,2GC4KPEY7S1149113,6.6L Duramax Turbo-Diesel V8|10-speed automatic|4WD|LTZ Package|Z71 Off-Road Suspension|Skid plates|Hill descent control|20-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,0,0,78995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,89999,54,20,
107572,Chevrolet,Silverado 2500HD,Z71,2026,Gas V8 6.6L/,Automatic,Summit White,503,1GC5KME7XTF107572,6.6L V8 engine|10-speed automatic|4WD|Z71 Off-Road Package|Skid plates|Hill descent control|20-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,0,0,58995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,60995,50,20,
234419,Chevrolet,Avalanche,LTZ,2007,Gas/Ethanol V8 5.3L/325,Automatic,Summit White,214347,3GNFK12317G234419,5.3L V8 engine|4-speed automatic|4WD|LTZ Package|Off-road suspension|17-inch alloy wheels|Halogen headlamps|Power liftgate|Leather seating surfaces|Heated front seats|Dual-zone climate control|Navigation system|Premium audio|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,15,20,12995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,13995,48,20,
149507,Chevrolet,Silverado 2500HD,LS,2003,Turbo-Charged Diesel V8 6.6L/402,Automatic,Summit White,229238,1GCHK29143E149507,6.6L Turbo-Diesel V8|4-speed automatic|4WD|LS Package|Heavy-duty suspension|Steel wheels|Halogen headlamps|Manual tailgate|Vinyl seating surfaces|Single-zone climate control|AM/FM stereo|Cruise control|Keyless entry|Power windows|Power door locks|Power mirrors|Tilt steering|ABS brakes|Airbags|Traction control|Stability control|Fog lamps|Tow package|Trailer brake controller|Limited-slip differential|Tire pressure monitoring|Auto-dimming mirrors|Power seats|Driver memory settings|Remote start,AS-IS,0,0,15995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,16995,48,20,
121585,Chevrolet,Camaro Police Pkg,SS (35TH ANNIVERSARY),2002,Gas V8 5.7L/346,Automatic,Bright Rally Red,1532,2G1FP22G222121585,5.7L V8 engine|4-speed automatic|Rear-wheel drive|Performance suspension|17-inch alloy wheels|Halogen headlamps|Power trunk|Cloth seating surfaces|Dual-zone climate control|AM/FM/CD player|Cruise control|Keyless entry|Power windows|Power door locks|Power mirrors|Tilt steering|ABS brakes|Airbags|Traction control|Stability control|Fog lamps|Leather-wrapped steering wheel|Rear spoiler|Performance exhaust|Limited-slip differential|Tire pressure monitoring|Auto-dimming mirrors|Power seats|Driver memory settings|Remote start,AS-IS,18,25,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,44,20,
246216,Chevrolet,Silverado 1500,LT,2023,Gas V8 5.3L/325,Automatic,Sterling Gray Metallic,33138,1GCRDDED6PZ246216,5.3L V8 engine|10-speed automatic|4WD|LT Package|Z71 Off-Road Suspension|Skid plates|Hill descent control|18-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,16,20,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,34,20,
420097,Chevrolet,Silverado 1500,Z71,2021,Gas V8 5.3L/325,Automatic,Silver Ice Metallic,32243,1GCUYEED7MZ420097,5.3L V8 engine|10-speed automatic|4WD|Z71 Off-Road Package|Skid plates|Hill descent control|18-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,16,21,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,34,20,
119185,Chevrolet,Corvette,2LT,2023,Gas V8 6.2L/,Automatic,Torch Red,6739,1G1YB2D41P5119185,6.2L V8 engine|8-speed dual-clutch automatic|Rear-wheel drive|Performance suspension|19-inch front/20-inch rear alloy wheels|LED headlamps|LED taillamps|Power convertible top|Leather seating surfaces|Heated seats|Ventilated seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,16,24,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,34,20,
127246,Chevrolet,Camaro,2LT,2022,Gas V6 3.6L/222,Manual,Rapid Blue,50443,1G1FC3DS9N0127246,3.6L V6 engine|6-speed manual|Rear-wheel drive|Performance suspension|20-inch alloy wheels|LED headlamps|LED taillamps|Power trunk|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,16,26,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,28,20,
192129,Chevrolet,Equinox,LT,2023,Turbocharged Gas I4 1.5L/87,Automatic,Summit White,22376,3GNAXTEG7PS192129,1.5L Turbocharged I4|6-speed automatic|AWD|LT Package|17-inch alloy wheels|LED headlamps|LED taillamps|Power liftgate|Cloth seating surfaces|Heated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,24,30,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,15,20,
260223,Chevrolet,Silverado 1500,LTZ 4WD,2025,Gas V8 5.3L/325,Automatic,Iridescent Pearl Tricoat,778,3GCUKGED4SG260223,5.3L V8 engine|10-speed automatic|4WD|LTZ Package|Z71 Off-Road Suspension|Skid plates|Hill descent control|20-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,16,19,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,8,25,
144992,Chevrolet,Malibu,LT,2025,Turbocharged Gas I4 1.5L/,Automatic,Mosaic Black Metallic,22287,1G1ZD5ST5SF144992,1.5L Turbocharged I4|CVT automatic|Front-wheel drive|LT Package|17-inch alloy wheels|LED headlamps|LED taillamps|Power trunk|Cloth seating surfaces|Heated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors|AM/FM stereo|USB ports|Cruise control,BOF,28,36,0,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,0,8,20,
130164,Chevrolet,Malibu,LT,2025,Turbocharged Gas I4 1.5L/,Automatic,Summit White,31211,1G1ZD5ST8SF130164,1.5L Turbocharged I4|CVT automatic|Front-wheel drive|LT Package|17-inch alloy wheels|LED headlamps|LED taillamps|Power trunk|Cloth seating surfaces|Heated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors|AM/FM stereo|USB ports|Cruise control,BOF,28,36,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,8,20,
134104,Chevrolet,Corvette,Stingray w/2LT,2023,Gas V8 6.2L/,Automatic,Silver Flare Metallic,15240,1G1YB3D49P5134104,6.2L V8 engine|8-speed dual-clutch automatic|Rear-wheel drive|Performance suspension|19-inch front/20-inch rear alloy wheels|LED headlamps|LED taillamps|Power convertible top|Leather seating surfaces|Heated seats|Ventilated seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,16,24,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,8,25,
534936,Dodge,Challenger,R/T,2011,Gas V8 5.7L/345,Manual,Billet Metallic,1273,2B3CJ5DT2BH534936,5.7L V8 engine|6-speed manual|Rear-wheel drive|Performance suspension|20-inch alloy wheels|Halogen headlamps|LED taillamps|Power trunk|Cloth seating surfaces|Dual-zone climate control|Navigation system|Premium audio|Bluetooth connectivity|Rear Vision Camera|Cruise control|Keyless entry|Push-button start|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors|AM/FM/CD player|Traction control|Stability control|ABS brakes|Airbags|Fog lamps|Limited-slip differential|Performance exhaust,AS-IS,15,24,30995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,"4,685",20,
528852,Dodge,Charger,SXT,2021,Regular Unleaded V-6 3.6 L/220,Automatic,Sinamon Stick,8908,2C3CDXJGXMH528852,3.6L V6 engine|8-speed automatic|Rear-wheel drive|Performance suspension|18-inch alloy wheels|LED headlamps|LED taillamps|Power trunk|Cloth seating surfaces|Heated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,18,27,30995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,31995,"1,366",30,
250033,Dodge,Challenger,R/T Scatpack Widebody RWD,2022,Premium Unleaded V-8 6.4 L/392,Automatic,Triple Nickel Clearcoat,5615,2C3CDZFJ6NH250033,6.4L V8 engine|8-speed automatic|Rear-wheel drive|Widebody Package|Performance suspension|20-inch alloy wheels|LED headlamps|LED taillamps|Power trunk|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Premium audio|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,15,24,54995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,55995,782,29,
628926,Dodge,Challenger,SRT Hellcat Widebody Jailbreak RWD,2023,Intercooled Supercharger Premium Unleaded V-8 6.2 L/376,Automatic,Octane Red Pearlcoat,3610,2C3CDZC90PH628926,6.2L Supercharged V8|8-speed automatic|Rear-wheel drive|Widebody Package|Performance suspension|20-inch alloy wheels|LED headlamps|LED taillamps|Power trunk|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Premium audio|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,13,22,79995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,80995,231,24,
188061,Dodge,Durango,SRT 392 AWD,2022,Premium Unleaded V-8 6.4 L/392,Automatic,DB Black Clearcoat,39649,1C4SDJGJ4NC188061,6.4L V8 engine|8-speed automatic|AWD|Performance suspension|20-inch alloy wheels|LED headlamps|LED taillamps|Power liftgate|Leather seating surfaces|Heated front seats|Ventilated front seats|Heated second-row seats|Dual-zone climate control|Navigation system|Premium audio|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,13,19,54995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,56995,84,32,
766632,Dodge,Grand Caravan,GT,2017,Regular Unleaded V-6 3.6 L/220,Automatic,Octane Red Pearlcoat,82466,2C4RDGEG2HR766632,3.6L V6 engine|6-speed automatic|FWD|GT Package|17-inch alloy wheels|Halogen headlamps|LED taillamps|Power sliding doors|Leather seating surfaces|Heated front seats|Heated second-row seats|Tri-zone climate control|Navigation system|Premium audio|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,17,25,12995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,13995,69,20,
