Stock_No,Make,Model,Trim,Year,Eng,Trans,Color,Mileage,VIN,Options,Days in Stock,Cert.,Photos,Warranty Type
528852,Dodge,Charger,SXT,2021,Regular Unleaded V-6 3.6 L/220,Automatic,Orange,"8,908",2C3CDXJGXMH528852,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,"1,353",No,Yes,BOF
534936,Dodge,Challenger,R/T,2011,Gas V8 5.7L/345,Manual,Silver,"1,273",2B3CJ5DT2BH534936,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors,"4,672",No,Yes,AS-IS
628926,Dodge,Challenger,SRT Hellcat Widebody Jailbreak RWD,2023,Intercooled Supercharger Premium Unleaded V-8 6.2 L/376,Automatic,Tan,"3,610",2C3CDZC90PH628926,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,218,No,Yes,BOF
662248,Dodge,Ram 1500,SLT,2003,Gas V8 5.7L/350,,,"269,530",1D7HU18D03J662248,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer|Security alarm system,49,No,Yes,AS-IS
096990,Ford,F-150,Black Ops,2023,,Automatic,,"18,393",1FTFW1ES6PF096990,Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,10,No,Yes,BOF
131118,Ford,Thunderbird,2dr Convertible Hardtop Premium,2002,Gas V8 3.9L/238,Automatic,White,361,1FAHP60A12Y131118,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,175,No,Yes,AS-IS
193130,Ford,Mustang,GT,2001,Gas V8 4.6L/281,,,"85,474",1FAFP42X51F193130,Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer|Security alarm system|Speed sensitive power door locks,51,No,Yes,AS-IS
553161,Ford,Mustang,Mach 1 Fastback,2022,Premium Unleaded V-8 5.0 L/302,Automatic,White,"33,024",1FA6P8R04N5553161,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,427,No,Yes,BOF
A00517,Ford,F-150,Limited 4WD Hybrid,2023,PowerBoost Full-Hybrid V6 3.5 L,Automatic,White,"28,978",1FTFW1ED0PFA00517,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,213,No,Yes,BOF
A02820,Ford,Expedition,,2017,Twin Turbo Regular Unleaded V-6 3.5 L/213,Automatic,,"170,454",1FMJU1JT0HEA02820,Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,21,No,Yes,AS-IS
A20534,Ford,Bronco Sport,Big Bend,2021,Intercooled Turbo Regular Unleaded I-3 1.5 L/91,Automatic,,0,3FMCR9B60MRA20534,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,2,No,Yes,BOF
A40579,Ford,Bronco,Raptor 4 Door Advanced Convertible 4WD,2025,Twin Turbo Premium Unleaded V-6 3.0 L/183,Automatic,Tan,"1,265",1FMEE0RR7SLA40579,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,162,No,Yes,BOF
A41070,Ford,F-150,KING RANCH,2017,Regular Unleaded V-8 5.0 L,Automatic,,"219,925",1FTEW1EF4HFA41070,Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,35,No,Yes,AS-IS
A44871,Ford,Explorer,ST 4WD,2025,Twin Turbo Premium Unleaded V-6 3.0 L/183,Automatic,White,"6,202",1FMWK8GC8SGA44871,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,218,No,Yes,BOF
A78612,Ford,Edge,,2024,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,White,"37,301",2FMPK4J96RBA78612,Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,56,No,Yes,BOF
A86020,Ford,Escape,SEL Plug-In Hybrid,2022,Gas/Electric I-4 2.5 L/152,Variable,White,"30,263",1FMCU0KZ4NUA86020,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,56,No,Yes,BOF
B19397,Ford,F-150,XLT 4WD Super Crew,2019,Regular Unleaded 3.5 L EcoBoost,Automatic,Gold,"92,905",1FTEW1E42KFB19397,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,92,No,Yes,AS-IS
B61974,Ford,F-150,,2017,Ecoboost 3.5L V6,Automatic,,"90,696",1FTEW1EG0HFB61974,ABS feature|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer|Security alarm system|Speed sensitive power door locks,43,No,Yes,AS-IS
B65609,Ford,Bronco,Wildtrak 2 Door 4X4,2022,Twin Turbo Regular Unleaded V-6 2.7 L/164,Automatic,Red,"3,096",1FMDE5CP6NLB65609,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,874,No,Yes,BOF
B77599,Ford,Explorer,Timberline,2022,Intercooled Turbo Premium Unleaded I-4 2.3 L/140,Automatic,,0,1FMSK8JH4NGB77599,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,2,No,Yes,BOF
B81081,Ford,Bronco,Wildtrak 2 Door Advanced 4X4,2022,Twin Turbo Regular Unleaded V-6 2.7 L/164,Automatic,White,"7,001",1FMDE5CP4NLB81081,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,764,No,Yes,BOF
B81158,Ford,Super Duty F-250 SRW,XLT,2008,Diesel V8 6.4L/,,Black,"181,007",1FTSX21R08EB81158,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors,55,No,Yes,AS-IS
B83067,Ford,Bronco,Wildtrak 4 Door Advancd 4WD,2022,Twin Turbo Regular Unleaded V-6 2.7 L/164,Automatic,Blue,"13,219",1FMEE5DP5NLB83067,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,708,No,Yes,BOF
B92260,Ford,Explorer,ST-Line,2025,Intercooled Turbo Premium Unleaded I-4 2.3 L/140,Automatic,,"1,703",1FMUK7KH0SGB92260,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,50,No,Yes,BOF
B93627,Ford,Explorer,Platinum 4WD,2018,Twin Turbo Premium Unleaded V-6 3.5 L/213,Automatic,Gray,"134,796",1FM5K8HT6JGB93627,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display,56,No,Yes,AS-IS
C17538,Ford,Utility Police Interceptor,,2015,Regular Unleaded V-6 3.7 L/227,Automatic,White,"171,506",1FM5K8AR0FGC17538,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,56,No,Yes,AS-IS
C40326,Ford,Super Duty F-250 SRW,Platinum 4WD,2024,Intercooled Turbo Diesel V-8 6.7 L/406,Automatic,Black,"33,472",1FT8W2BM4REC40326,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,23,No,Yes,BOF
C94083,Ford,Super Duty F-250 SRW,XL,2017,6.2L 2-VALVE SOHC EFI NA V8 FLEX-FUEL (STD),Automatic,White,"135,204",1FD7X2A62HEC94083,ABS feature|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer|Security alarm system|Speed sensitive power door locks,609,No,Yes,AS-IS
D16551,Ford,F-150,Limited 4WD Super Crew,2019,Ecoboost 3.5L V6,Automatic,White,"74,342",1FTEW1EG4KFD16551,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,62,No,Yes,AS-IS
D39273,Ford,Bronco Sport,Outer Banks 4X4,2022,Intercooled Turbo Regular Unleaded I-3 1.5 L/91,Automatic,Blue,"28,446",3FMCR9C64NRD39273,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,933,No,Yes,BOF
E90618,Ford,F-150,Lariat 4WD Super Crew,2021,Regular Unleaded V6 3.5 L EcoBoost,Automatic,Red,"103,316",1FTFW1E83MKE90618,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,104,No,Yes,AS-IS
E98198,Ford,F-150,XL 4WD,2019,Regular Unleaded 3.5 L EcoBoost,Automatic,White,"73,811",1FTFW1E40KKE98198,ABS feature|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer|Security alarm system,56,No,Yes,AS-IS
F11167,Ford,F-150,Lariat 4WD Super Crew,2016,Regular Unleaded V-8 5.0 L,Automatic,Gray,"86,321",1FTEW1EF6GKF11167,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,91,No,Yes,AS-IS
F22838,Ford,Super Duty F-250 SRW,,2024,Regular Unleaded V-8 7.3 L,Automatic,White,"6,389",1FT8W2BN5REF22838,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,133,No,Yes,BOF
F42035,Ford,Super Duty F-350 DRW,Lariat 4WD Crew Cab,2024,Intercooled Turbo Diesel V-8 6.7 L/406,Automatic,Blue,"24,313",1FT8W3DTXREF42035,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,107,No,Yes,BOF
101160,GMC,Sierra 1500,Denali 4WD Crew Cab,2019,Gas V8 6.2L,Automatic,Black,"71,594",1GTU9FEL5KZ101160,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,106,No,Yes,AS-IS
121781,GMC,Sierra 1500,4WD Denali,2024,Gas V8 6.2L/376,Automatic,Black,"24,849",1GTUUGEL7RZ121781,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,104,No,Yes,BOF
122458,GMC,Sierra 2500HD,4WD Denali Ultimate,2025,Turbocharged Diesel V8 6.6L/,Automatic,Blue,"4,762",1GT4UXEY1SF122458,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,57,No,Yes,BOF
135833,GMC,Yukon XL,SLT,2015,Gas/Ethanol V8 5.3L/323,Automatic,Red,"183,027",1GKS2HKC5FR135833,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,7,No,Yes,AS-IS
136945,GMC,Sierra 1500,Denali 4WD,2018,Gas V8 6.2L/376,Automatic,Black,"123,405",3GTU2PEJ8JG136945,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display,56,No,Yes,AS-IS
138738,GMC,Savana Cargo Van,,2024,Gas V6 4.3L/,Automatic,White,371,1GTW7AFP7R1138738,Power door locks|Power windows|TSW feature|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,57,No,Yes,BOF
175669,GMC,Sierra 2500HD,Denali 4WD Crew Cab,2025,Turbocharged Diesel V8 6.6L/,Automatic,Black,"2,805",1GT4UREYXSF175669,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,90,No,Yes,BOF
180487,GMC,Sierra 1500 Limited,SLT 4WD,2022,Diesel I6 3.0L/183,Automatic,White,"99,991",3GTU9DET2NG180487,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,56,No,Yes,BOF
190159,GMC,Sierra 3500HD,Denali Ultimate 4WD Crew Cab,2024,Turbocharged Diesel V8 6.6L/,Automatic,White,"64,317",1GT49YEYXRF190159,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,90,No,Yes,BOF
209663,GMC,Sierra 2500HD,4WD Denali Ultimate,2024,Turbocharged Diesel V8 6.6L/,Automatic,White,"13,257",1GT49XEY5RF209663,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,69,No,Yes,BOF
229111,GMC,Sierra 1500,AT4 X 4WD,2024,Gas V8 6.2L/376,Automatic,Black,"12,725",3GTUUFEL6RG229111,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,148,No,Yes,BOF
231722,GMC,Sierra 1500,SLT 4WD Crew Cab,2023,Turbocharged Diesel I6 3.0L/,Automatic,Black,"36,925",3GTUUDE85PG231722,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,506,No,Yes,BOF
238850,GMC,Yukon,SLT 4WD,2018,Gas V8 5.3L/325,Automatic,White,"159,757",1GKS2BKC8JR238850,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display,100,No,Yes,AS-IS
243733,GMC,Sierra 1500,Elevation X31 4WD,2019,Gas V8 5.3L,Automatic,Black,"103,375",1GTR9CED5KZ243733,Power door locks|Power windows|TSW feature|Cruise control|Anti-lock braking system|Air conditioning|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display,244,No,Yes,AS-IS
281609,GMC,Sierra 2500HD,AT4 4WD,2022,Turbocharged Diesel V8 6.6L/,Automatic,White,"127,393",1GT49PEY4NF281609,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,189,No,Yes,AS-IS
283679,GMC,Sierra 2500HD,XLE,2022,Gas V8 6.6L/,Automatic,Red,"75,826",1GT49ME75NF283679,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,52,No,Yes,AS-IS
289036,GMC,Yukon XL,Denali Ultimate 4WD,2024,Gas V8 6.2L/,Automatic,Black,"23,045",1GKS2KKL1RR289036,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,154,No,Yes,BOF
